Company,DisplayLinks,Title,fuzzy_ratio_link(token_set),fuzzy_ratio_title(token_set)
Iroquois Cranberry Growers,iroquoiscranberries.com,Iroquois Cranberry Growers - Ontario's Largest Cranberry Farm,45.0,100
Bonnie & Don Flavours Inc.,bdflavours.com,Essences Bonnie & Don Flavours Inc ,65.0,100
Citadelle Maple Syrup Producers' Cooperative,citadelle-camp.coop,Quebec Maple Syrup Producers' Cooperative - Citadelle _ Citadelle,64.0,100
Ecom Food Industries,web.mbot.com,Ecom Food Industries Corporation,44.0,100
Farinart Inc.,bakersjournal.com,FARINART INC - Bakers Journal,41.0,100
National research council Canada,nrc.canada.ca,National Research Council Canada Home,63.0,100
National research council Canada,nrc-cnrc.gc.ca,Sunrise/sunset calculator - National Research Council Canada,43.0,100
National research council Canada,researchgate.net,National Research Council Canada | Ottawa Canada | NRC,46.0,100
Neova Technologies Inc.,neovatech.com,Neova Technologies Inc Home,63.0,100
Newly Weds Foods Inc.,newlywedsfoods.com,Newly Weds Foods,58.0,100
Nova Agri Inc,selectnovascotia.ca,Nova Agri Inc | Select Nova Scotia,44.0,100
RGB Consulting,rgbconsulting.com,RGB Consulting - IT and Consultancy,65.0,100
RGB Consulting,rgbglobal.com,RGB Global | Management Consulting,44.0,100
RGB Consulting,rgb-sg.ch,RGB Consulting,61.0,100
W.T. Lynch Foods Limited,lynchfoods.com,Lynch Foods Limited,43.0,100
Acc Atlantic Canada Connection Inc,atlanticcanadaexports.ca,Atlantic Canada Connection Inc ,55.0,100
"Acema Importations, Inc.",capitalregional.com,Acema Importations inc ,44.0,100
Ael Food Service Inc,ael.com,AEL,60.0,100
Agricore Ltd.,agricorechem.com,Agricore Chemical Industry Co. LTD,64.0,100
Agrios Global Holdings Ltd. (CNSX:AGRO),agriosglobal.com,Agrios Global Holdings Ltd. Home,54.0,91
Alta Processing Co,rent.altaequipment.com,Aggregate Processing Equipment Rental | Alta Equipment Co.,55.0,100
