Company,DisplayLink,Website,Title,new_links,fuzzy_ratio_link(simple),fuzzy_ratio_title(simple),fuzzy_ratio_link(partial),fuzzy_ratio_title(partial),fuzzy_ratio_link(token_sort),fuzzy_ratio_title(token_sort),fuzzy_ratio_link(token_set),fuzzy_ratio_title(token_set)
Iroquois Cranberry Growers,cranberry.ca,https://cranberry.ca/iroquois-cranberry-growers/,Iroquois Cranberry Growers - Muskoka Lakes Farm & Winery,cranberry.ca,42,63,67,100,47,67,86,100
Iroquois Cranberry Growers,barrie.ctvnews.ca,https://barrie.ctvnews.ca/iroquois-cranberry-growers-will-grow-no-more-1.3382983,Iroquois Cranberry Growers will grow no more | CTV News,barrie.ctvnews.ca,23,64,33,100,28,66,28,100
Iroquois Cranberry Growers,www.tripadvisor.com,https://www.tripadvisor.com/Attraction_Review-g657273-d4602922-Reviews-Iroquois_Cranberry_Growers-Bala_Muskoka_Lakes_Muskoka_District_Ontario.html,Iroquois Cranberry Growers (Bala) - 2020 All You Need to Know ,tripadvisor.com,24,59,27,100,24,63,24,100
Iroquois Cranberry Growers,www.wahtamohawks.com,http://www.wahtamohawks.com/icg/,Iroquois Cranberry Growers,wahtamohawks.com,10,100,20,100,24,100,24,100
Iroquois Cranberry Growers,www.tripadvisor.com,https://www.tripadvisor.com/ShowUserReviews-g657273-d4602922-r423333062-Iroquois_Cranberry_Growers-Bala_Muskoka_Lakes_Muskoka_District_Ontario.html,Lovely Visit - Review of Iroquois Cranberry Growers Bala Ontario ,tripadvisor.com,24,57,27,100,24,59,24,100
Iroquois Cranberry Growers,iroquoiscranberries.com,https://iroquoiscranberries.com/,Iroquois Cranberry Growers - Ontario's Largest Cranberry Farm,iroquoiscranberries.com,61,60,65,100,45,61,45,100
Iroquois Cranberry Growers,schedule.wttw.com,https://schedule.wttw.com/episodes/306986/Fish-Out-of-Water/Iroquois-Cranberry-Growers/,Fish Out of Water | Iroquois Cranberry Growers | WTTW,schedule.wttw.com,5,66,18,100,19,69,19,100
Iroquois Cranberry Growers,www.inspirock.com,https://www.inspirock.com/canada/bala/iroquois-cranberry-growers-a7174912405,Visit Iroquois Cranberry Growers on your trip to Bala or Canada,inspirock.com,15,58,23,100,31,58,31,100
Bulgur Vital corporation inc.,www.bobsredmill.com,https://www.bobsredmill.com/blog/healthy-living/glyphosate/,Glyphosate - Bob's Red Mill Blog,bobsredmill.com,18,16,33,21,23,41,23,41
Bulgur Vital corporation inc.,www.kingarthurflour.com,https://www.kingarthurflour.com/recipes/harvest-wheat-bread-recipe,Harvest Wheat Bread | King Arthur Flour,kingarthurflour.com,25,24,25,32,21,25,21,25
Bulgur Vital corporation inc.,www.agr.state.il.us,https://www.agr.state.il.us/sharepoint/mis/result.php?menuTopics=4&menuSubjects=none&menuFiles=none,Grain Flours and Meals,agr.state.il.us,27,24,33,24,28,44,28,44
Bulgur Vital corporation inc.,www.wsj.com,https://www.wsj.com/articles/biden-family-business-11569271216,Biden Family Business - WSJ,wsj.com,11,14,29,27,17,26,17,26
Bulgur Vital corporation inc.,assets.adm.com,https://assets.adm.com/Investors/Shareholder-Reports/2008/2008-ADM-Annual-Report-Spa.pdf,Informe Anual 2008 de Archer Daniels Midland Company ,assets.adm.com,19,24,21,40,14,38,14,38
Golburn Valley Oil Mill,www.koshercheck.org,http://www.koshercheck.org/kc-online/product-catalogue/Oils%20%26%20Shortenings?page=2,Oils & Shortenings | Page 3 | Kosher Check,koshercheck.org,16,15,13,22,21,31,21,31
Golburn Valley Oil Mill,www.koshercheck.org,http://www.koshercheck.org/kc-online/product-catalogue/Oils%20%26%20Shortenings?page=3,Oils & Shortenings | Page 4 | Kosher Check,koshercheck.org,16,15,13,22,21,31,21,31
Golburn Valley Oil Mill,applications.saskatchewan.ca,http://applications.saskatchewan.ca/manufacturers-and-suppliers?key=Company&mode=search&cmpid=101564,Golburn Valley Oilmill Inc ,applications.saskatchewan.ca,16,84,19,91,24,78,24,78
Golburn Valley Oil Mill,publications.saskatchewan.ca,https://publications.saskatchewan.ca/api/v1/products/75210/formats/84120/download,Organic Marketers and Processors Guide,publications.saskatchewan.ca,16,20,19,22,20,30,20,30
Golburn Valley Oil Mill,applications.saskatchewan.ca,http://applications.saskatchewan.ca/manufacturers-and-suppliers?mode=search&cpn=%&cty=&pd=&naics=&cg=&sm=&so=NAME&mr=25&key=Companies&index=%&page=12,12,applications.saskatchewan.ca,16,0,19,0,24,0,24,0
Golburn Valley Oil Mill,www.traveller.com.au,https://www.traveller.com.au/bountiful-harvest-1hfj6,Goulburn Valley tourism | Travel guide | Bountiful harvest,traveller.com.au,26,49,31,70,31,47,31,44
Midlake Specialty Food Products,msfp.ca,https://msfp.ca/,Midlake Specialty Food Products Inc,msfp.ca,5,94,22,100,16,94,16,100
Midlake Specialty Food Products,www.ganica.net,https://www.ganica.net/web-design/web-design/40-works/web/319-midlake-specialty-food-products-inc,Midlake Specialty Food Products Inc,ganica.net,20,94,24,100,15,94,15,100
Midlake Specialty Food Products,msfp.ca,https://msfp.ca/index.php/about-us,About Midlake Specialty Food Products Inc,msfp.ca,5,86,22,100,16,86,16,100
Midlake Specialty Food Products,www.townofarborg.com,https://www.townofarborg.com/business-directory/56-business-directory/other-services/284-midlake-specialty-food-products,Midlake Specialty Food Products,townofarborg.com,13,100,38,100,13,100,13,100
Midlake Specialty Food Products,www.biodieselmagazine.com,http://www.biodieselmagazine.com/articles/1434/hemp-biodiesel-when-the-smoke-clears/,Hemp Biodiesel When the Smoke Clears,biodieselmagazine.com,15,30,21,33,27,30,27,30
Midlake Specialty Food Products,411.ca,https://411.ca/business/profile/6412705,Midlake Specialty Food Products in Arborg MB | 2043763078 | 411 ca,411.ca,5,64,33,100,11,67,11,100
Midlake Specialty Food Products,grapeinc.com,https://grapeinc.com/press-releases/national-packaging-companies-select-grapevine-communications-for-branding-and-retail-packaging-line-development.html,National Packaging Companies - Grapevine Communications,grapeinc.com,23,23,33,29,28,26,28,26
Villetard's Eggs Ltd.,yp.blogflux.com,http://yp.blogflux.com/directory/ca/alberta/edmonton/category/eggs-wholesale/,Eggs (Wholesale) in Edmonton AB | Edmonton Alberta Eggs ,yp.blogflux.com,17,26,11,59,17,31,17,46
Villetard's Eggs Ltd.,www.tecedmonton.com,https://www.tecedmonton.com/press-release-research-investment-to-give-new-hope-for-those-with-celiac-disease/,Press Release Research Investment to Give New Hope for Those ,tecedmonton.com,17,20,23,29,11,18,11,18
Villetard's Eggs Ltd.,www.cmfmag.ca,https://www.cmfmag.ca/election/list-of-candidates-running-for-the-peoples-party-of-canada-with-military-connections/,List of Candidates running for the Peoples Party of Canada with ,cmfmag.ca,20,19,25,29,7,27,7,28
Villetard's Eggs Ltd.,canadianfoodinnovators.ca,https://canadianfoodinnovators.ca/project/new-technology-adds-value-to-under-used-agricultural-products,New technology adds value to under - Canadian Food Innovators,canadianfoodinnovators.ca,13,15,14,33,4,23,4,23
Villetard's Eggs Ltd.,www.scc-csc.ca,https://www.scc-csc.ca/case-dossier/info/dock-regi-eng.aspx?cas=25192,SCC Case Information - Docket - 25192 - Supreme Court of Canada,scc-csc.ca,6,12,22,24,20,21,20,21
Villetard's Eggs Ltd.,www.municipalaffairs.alberta.ca,http://www.municipalaffairs.alberta.ca/documents/mgb/M012-16(1).pdf,IN THE MATTER OF THE Municipal Government Act being Chapter ,municipalaffairs.alberta.ca,29,17,33,24,17,20,17,19
Villetard's Eggs Ltd.,www.regie-energie.qc.ca,http://www.regie-energie.qc.ca/audiences/3595-06/MoyensPrelim3595/Augu3595/C-2-8-GRAME_Auto02_3595_13juin06.pdf,GRAME,regie-energie.qc.ca,15,8,24,20,21,8,21,8
Advitech Inc.,www.crunchbase.com,https://www.crunchbase.com/organization/advitech,Advitech | Crunchbase,crunchbase.com,22,65,23,69,15,71,15,80
Advitech Inc.,www.advitech.com,http://www.advitech.com/,Advitech inc,advitech.com,64,88,67,92,83,100,83,100
Advitech Inc.,www.bionity.com,https://www.bionity.com/en/companies/23108/advitech-inc.html,Advitech Inc - Quebec City Canada,bionity.com,25,52,27,92,26,56,26,100
Advitech Inc.,clustrmaps.com,https://clustrmaps.com/c/3e77s-ftvcw,Advitech Inc San Antonio - Company Profile,clustrmaps.com,15,44,15,92,15,46,15,100
Advitech Inc.,www.ncbi.nlm.nih.gov,https://www.ncbi.nlm.nih.gov/pubmed/18066141,XP-828L (Dermylex) a new whey protein extract with potential ,ncbi.nlm.nih.gov,21,14,23,38,36,17,36,17
Advitech Inc.,onlinelibrary.wiley.com,https://onlinelibrary.wiley.com/doi/abs/10.1002/lary.21373,Controlling motion sickness and spatial disorientation and ,onlinelibrary.wiley.com,17,14,27,31,23,17,23,18
Advitech Inc.,agoracom.com,https://agoracom.com/ir/Advitech,Small Cap Investment - Advitech Inc - Official Investor Hub - Agoracom,agoracom.com,16,29,19,92,33,32,33,100
Advitech Inc.,acronyms.thefreedictionary.com,https://acronyms.thefreedictionary.com/Advitech+Inc.,Advitech Inc - How is Advitech Inc abbreviated?,acronyms.thefreedictionary.com,19,40,38,92,29,43,29,100
Aliments E.D. Foods Inc.,buyersguide.restaurantscanada.org,https://buyersguide.restaurantscanada.org/companies/aliments-ed-foods-inc/,ALIMENTS ED FOODS INC - Restaurants Canada - Buyers Guide,buyersguide.restaurantscanada.org,25,22,26,33,18,59,18,90
Aliments E.D. Foods Inc.,luda.ca,https://luda.ca/,LUDA Foods,luda.ca,19,41,29,70,21,38,21,67
Aliments E.D. Foods Inc.,www.alimentsduquebec.com,https://www.alimentsduquebec.com/en/certified-products/business/aliments-luda-foods,Aliments LUDA Foods | Montr_al | Companies | Aliments du Qu_bec,alimentsduquebec.com,45,44,40,71,48,48,48,78
Aliments E.D. Foods Inc.,www.careersinfood.com,https://www.careersinfood.com/aliments-ed-foods-inc-listing-14397.htm,Aliments Ed Foods Inc Information from CareersInFood com,careersinfood.com,29,50,29,83,46,56,46,90
Aliments E.D. Foods Inc.,www.sialchina.com,http://www.sialchina.com/suppliers/company/ALIMENTS-ED-FOODS.html,ALIMENTS ED FOODS INC in SIAL CHINA | SIAL CHINA 2017,sialchina.com,16,23,32,38,23,58,23,90
Aliments E.D. Foods Inc.,www.edsmith.com,https://www.edsmith.com/,Home - E D Smith,edsmith.com,23,30,32,31,36,39,36,39
Aliments E.D. Foods Inc.,websites.ca,https://websites.ca/listing/ByX2Q-ayvb/Aliments-E-D-Foods-inc-Pointe-Claire-Quebec,Aliments E D Foods inc - 6200 Aut Transcanadienne Pointe-Claire ,websites.ca,29,45,27,83,24,53,24,100
Atsenti,www.atsenti.com,https://www.atsenti.com/,Atsenti,atsenti.com,67,100,86,100,78,100,100,100
Atsenti,www.atsenti.com,https://www.atsenti.com/Atsenti-home-page/,Think-Care-Heal - Atsenti- Penser-Soigner-Gu_rir - Atsenti,atsenti.com,67,22,86,100,78,23,100,100
Atsenti,www.atsenti.com,https://www.atsenti.com/contact-us-1/,Contact us - Atsenti- Penser-Soigner-Gu_rir,atsenti.com,67,28,86,100,78,30,100,100
Atsenti,www.quebecgetaways.com,https://www.quebecgetaways.com/jardins-atsenti-auarata-les,Jardins Atsenti Auarata (Les),quebecgetaways.com,16,39,29,100,16,41,16,100
Atsenti,www.theweathernetwork.com,https://www.theweathernetwork.com/ca/36-hour-weather-forecast/quebec/jardins-atsenti-auarata,Jardins Atsenti Auarata Quebec 36 Hour Weather Forecast - The ,theweathernetwork.com,29,20,57,100,36,21,36,100
Atsenti,www.theweathernetwork.com,https://www.theweathernetwork.com/ca/forecasts/attractions/quebec/jardins-atsenti-auarata,Attractions Jardins Atsenti Auarata QC - The Weather Network,theweathernetwork.com,29,21,57,100,36,22,36,100
Atsenti,www.fiercebiotech.com,https://www.fiercebiotech.com/biotech/curt-herberts-to-head-up-business-development-at-senti-bio,Curt Herberts to head up business development at Senti Bio ,fiercebiotech.com,17,18,29,71,17,22,17,22
