Company,DisplayLinks,Title,fuzzy_ratio_link(token_set),fuzzy_ratio_title(token_set)
Iroquois Cranberry Growers,cranberry.ca,Iroquois Cranberry Growers - Muskoka Lakes Farm & Winery,86.0,100
Advitech Inc.,advitech.com,Advitech inc,83.0,100
Atsenti,atsenti.com,Atsenti,100.0,100
Bartek Ingredients Inc.,bartek.ca,Bartek Ingredients | Malic and Fumaric Acid,80.0,90
Cedarome Canada Inc.,cedarome.com,New website for Cedarome Canada inc ,80.0,100
Farinart Inc.,farinart.ca,Farinart | Grain Blends and Seeds,87.0,80
Freeze-Dry Foods Limited,freeze-dry.com,Freeze-Dry Foods,83.0,100
Freeze-Dry Foods Limited,freeze-dry-foods.com,Freeze-Dry Foods Index,89.0,84
Glanbia Nutritionals Canada,glanbianutritionals.com,Glanbia Nutritionals | Just add Glanbia,84.0,85
Macco Organiques Inc.,macco.cz,Macco Organiques Inc | Your source for Benzoates Propionates ,77.0,100
National research council Canada,canada.ca,National Research Council contribution plays key role in newly ,80.0,88
Phytovox,phytovox.fr,PHYTOVOX - L a - v o i e - d e s - p l a n t e s,100.0,100
Skjodt Barrett Foods Inc.,skjodt-barrett.com,Skjodt-Barrett Corporate Website,88.0,74
Wiberg Corporation,wiberg.ca,Wiberg Corporation,80.0,100
Acadian Supreme Inc.,acadiansupreme.com,Welcome to Acadian Supreme Inc ,76.0,100
"Acema Importations, Inc.",acema.ca,Acema Importations Inc ,77.0,100
AG Foods,agfoods.com,AG Foods,74.0,100
AG Foods,agfoods.eu,AG FOODS Group a.s.,78.0,100
Agricore Ltd.,agricore.co.uk,Agricore | Gypsum Direct | Plasterboard Waste Management ...,80.0,80
Agricore Ltd.,agricore.eu,Agricore Grain broker | Black Sea | Romania | Ukraine | Russia,84.0,80
